Damage Type,Confidence,Est. Length (cm),Severity,Action Priority,Bounding Box
Burst,3.6%,1.5% Area,🟢 Low,Monitor Status,"[134.9, 62.0, 191.2, 75.5]"
Burst,2.0%,1.9% Area,🟢 Low,Monitor Status,"[117.6, 61.6, 192.5, 74.7]"
Burst,1.6%,2.1% Area,🟠 Medium,Schedule Maintenance,"[0.0, 20.7, 38.0, 48.1]"
Burst,0.5%,2.0% Area,🟠 Medium,Schedule Maintenance,"[0.8, 24.5, 46.5, 47.2]"
Burst,0.5%,2.8% Area,🟠 Medium,Schedule Maintenance,"[107.7, 62.0, 192.4, 78.7]"
Burst,0.3%,3.7% Area,🟠 Medium,Schedule Maintenance,"[0.1, 104.3, 24.2, 182.2]"
Burst,0.2%,2.2% Area,🟠 Medium,Schedule Maintenance,"[0.6, 28.0, 50.1, 50.8]"
Burst,0.1%,2.2% Area,🟠 Medium,Schedule Maintenance,"[1.1, 17.7, 44.2, 43.1]"
Burst,0.1%,1.3% Area,🟢 Low,Monitor Status,"[0.0, 115.4, 11.7, 171.2]"
Burst,0.1%,1.7% Area,🟢 Low,Monitor Status,"[0.0, 117.4, 17.2, 168.4]"
Burst,0.1%,2.7% Area,🟠 Medium,Schedule Maintenance,"[0.0, 96.2, 19.4, 166.7]"
Burst,0.0%,1.5% Area,🟢 Low,Monitor Status,"[144.4, 62.9, 192.6, 78.5]"
Burst,0.0%,3.7% Area,🟠 Medium,Schedule Maintenance,"[0.0, 93.2, 26.2, 164.8]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[94.8, 3.1, 120.8, 11.3]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[74.5, 2.9, 103.6, 11.4]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[88.2, 3.1, 114.8, 11.3]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[81.5, 3.0, 109.2, 11.3]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[67.3, 2.8, 98.1, 11.5]"
Burst,0.0%,0.9% Area,🟢 Low,Monitor Status,"[0.0, 118.3, 9.5, 164.8]"
Burst,0.0%,1.4% Area,🟢 Low,Monitor Status,"[0.0, 102.5, 11.1, 164.3]"
Burst,0.0%,3.3% Area,🟠 Medium,Schedule Maintenance,"[0.0, 100.9, 18.5, 191.7]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[101.2, 3.1, 127.4, 11.3]"
Burst,0.0%,2.0% Area,🟠 Medium,Schedule Maintenance,"[5.8, 33.3, 62.3, 51.4]"
Burst,0.0%,5.7% Area,🟠 Medium,Schedule Maintenance,"[0.0, 104.1, 32.8, 190.9]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[60.0, 2.7, 92.6, 11.6]"
Burst,0.0%,1.9% Area,🟢 Low,Monitor Status,"[131.4, 58.3, 191.8, 74.6]"
Burst,0.0%,2.6% Area,🟠 Medium,Schedule Maintenance,"[126.8, 62.3, 197.8, 80.6]"
Burst,0.0%,3.5% Area,🟠 Medium,Schedule Maintenance,"[87.7, 63.3, 201.4, 78.9]"
Burst,0.0%,1.6% Area,🟢 Low,Monitor Status,"[15.0, 24.7, 49.5, 48.4]"
Burst,0.0%,2.5% Area,🟠 Medium,Schedule Maintenance,"[0.5, 30.9, 54.2, 54.7]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[53.1, 2.6, 86.6, 11.7]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[107.4, 2.9, 134.2, 11.4]"
Burst,0.0%,2.8% Area,🟠 Medium,Schedule Maintenance,"[0.2, 8.7, 36.3, 48.0]"
Burst,0.0%,5.7% Area,🟠 Medium,Schedule Maintenance,"[0.0, 4.6, 68.0, 46.8]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[46.4, 2.6, 80.6, 11.7]"
Burst,0.0%,12.3% Area,🔴 High,Immediate Repair,"[0.0, 36.7, 74.3, 120.3]"
Burst,0.0%,5.2% Area,🟠 Medium,Schedule Maintenance,"[78.4, 60.9, 195.4, 83.2]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[39.4, 2.5, 74.3, 11.8]"
Burst,0.0%,0.3% Area,🟢 Low,Monitor Status,"[152.8, 76.2, 164.6, 91.0]"
Burst,0.0%,0.8% Area,🟢 Low,Monitor Status,"[61.9, 9.7, 93.2, 22.6]"
Burst,0.0%,10.9% Area,🔴 High,Immediate Repair,"[0.1, 101.4, 63.3, 187.9]"
Burst,0.0%,3.6% Area,🟠 Medium,Schedule Maintenance,"[0.0, 69.9, 18.9, 164.9]"
Burst,0.0%,1.8% Area,🟢 Low,Monitor Status,"[0.0, 17.3, 33.1, 45.2]"
Burst,0.0%,4.7% Area,🟠 Medium,Schedule Maintenance,"[0.0, 68.3, 25.6, 160.4]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[69.2, 9.7, 98.9, 22.2]"
Burst,0.0%,0.9% Area,🟢 Low,Monitor Status,"[0.0, 104.0, 9.1, 156.1]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[31.1, 2.5, 68.2, 12.0]"
Burst,0.0%,2.0% Area,🟠 Medium,Schedule Maintenance,"[74.1, 181.1, 157.7, 193.0]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[238.8, 0.0, 256.4, 5.7]"
Burst,0.0%,6.7% Area,🟠 Medium,Schedule Maintenance,"[1.0, 103.4, 46.3, 177.6]"
Burst,0.0%,2.0% Area,🟠 Medium,Schedule Maintenance,"[43.9, 181.1, 127.5, 193.0]"
Burst,0.0%,0.3% Area,🟢 Low,Monitor Status,"[248.0, 0.0, 260.5, 11.7]"
Burst,0.0%,0.8% Area,🟢 Low,Monitor Status,"[55.0, 9.8, 87.1, 22.8]"
Burst,0.0%,5.7% Area,🟠 Medium,Schedule Maintenance,"[0.1, 34.6, 72.9, 73.7]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[166.8, 2.9, 193.3, 11.2]"
Burst,0.0%,3.3% Area,🟠 Medium,Schedule Maintenance,"[0.0, 31.5, 74.2, 53.7]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[226.1, 2.7, 252.1, 11.2]"
Burst,0.0%,0.8% Area,🟢 Low,Monitor Status,"[0.0, 122.7, 8.0, 171.6]"
Burst,0.0%,0.8% Area,🟢 Low,Monitor Status,"[22.3, 2.4, 61.9, 12.3]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[113.5, 2.7, 141.1, 11.5]"
Burst,0.0%,7.7% Area,🟠 Medium,Schedule Maintenance,"[0.0, 38.3, 51.5, 114.0]"
Burst,0.0%,2.8% Area,🟠 Medium,Schedule Maintenance,"[107.9, 120.5, 147.1, 157.0]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[249.2, 1.7, 260.3, 18.4]"
Burst,0.0%,6.8% Area,🟠 Medium,Schedule Maintenance,"[167.1, 42.3, 245.2, 86.5]"
Burst,0.0%,5.1% Area,🟠 Medium,Schedule Maintenance,"[0.0, 100.8, 38.4, 167.6]"
Burst,0.0%,4.3% Area,🟠 Medium,Schedule Maintenance,"[10.0, 87.7, 61.8, 129.3]"
Burst,0.0%,2.2% Area,🟠 Medium,Schedule Maintenance,"[95.0, 181.0, 188.5, 193.0]"
Burst,0.0%,2.1% Area,🟠 Medium,Schedule Maintenance,"[18.2, 180.9, 107.7, 193.0]"
Burst,0.0%,1.7% Area,🟢 Low,Monitor Status,"[15.7, 17.7, 46.5, 45.8]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[12.0, 2.4, 48.3, 12.4]"
Burst,0.0%,4.3% Area,🟠 Medium,Schedule Maintenance,"[111.9, 62.0, 195.2, 87.8]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[172.9, 2.8, 199.0, 11.1]"
Burst,0.0%,2.5% Area,🟠 Medium,Schedule Maintenance,"[141.8, 176.6, 217.4, 193.0]"
Burst,0.0%,4.3% Area,🟠 Medium,Schedule Maintenance,"[0.0, 19.7, 73.1, 49.2]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[0.0, 39.8, 5.6, 86.4]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[249.9, 5.3, 260.3, 35.1]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[119.5, 2.6, 147.8, 11.4]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[76.4, 9.6, 105.0, 21.6]"
Burst,0.0%,4.3% Area,🟠 Medium,Schedule Maintenance,"[162.4, 60.1, 242.0, 87.7]"
Burst,0.0%,0.8% Area,🟢 Low,Monitor Status,"[48.6, 9.9, 81.0, 22.7]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[159.6, 2.7, 190.2, 11.4]"
Burst,0.0%,1.8% Area,🟢 Low,Monitor Status,"[0.0, 116.9, 21.9, 159.3]"
Burst,0.0%,3.2% Area,🟠 Medium,Schedule Maintenance,"[104.9, 127.9, 148.2, 165.3]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[80.3, 0.0, 104.9, 4.2]"
Burst,0.0%,2.5% Area,🟠 Medium,Schedule Maintenance,"[0.0, 41.9, 17.3, 114.3]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[125.0, 64.1, 167.4, 71.3]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[73.5, 0.0, 99.3, 4.2]"
Burst,0.0%,26.1% Area,🔴 High,Immediate Repair,"[79.2, 64.6, 207.1, 167.3]"
Burst,0.0%,1.3% Area,🟢 Low,Monitor Status,"[19.5, 31.7, 55.4, 49.7]"
Burst,0.0%,1.1% Area,🟢 Low,Monitor Status,"[11.6, 9.4, 45.0, 26.3]"
Burst,0.0%,2.0% Area,🟠 Medium,Schedule Maintenance,"[102.3, 85.9, 137.3, 114.4]"
Burst,0.0%,2.2% Area,🟠 Medium,Schedule Maintenance,"[127.4, 179.4, 210.1, 193.0]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[86.9, 0.0, 110.6, 4.2]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[153.3, 76.7, 165.5, 96.0]"
Burst,0.0%,6.3% Area,🟠 Medium,Schedule Maintenance,"[2.4, 40.9, 59.4, 96.7]"
Burst,0.0%,2.1% Area,🟠 Medium,Schedule Maintenance,"[7.9, 13.7, 51.3, 38.1]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[125.5, 2.5, 155.1, 11.4]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[171.5, 0.0, 194.9, 3.9]"
Burst,0.0%,12.9% Area,🔴 High,Immediate Repair,"[0.0, 109.7, 78.1, 193.0]"
Burst,0.0%,1.1% Area,🟢 Low,Monitor Status,"[219.9, 14.4, 250.8, 32.6]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[0.0, 2.3, 30.3, 12.7]"
Burst,0.0%,2.9% Area,🟠 Medium,Schedule Maintenance,"[220.4, 22.0, 259.7, 59.2]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[224.5, 0.0, 246.2, 4.0]"
Burst,0.0%,8.5% Area,🔴 High,Immediate Repair,"[180.6, 0.0, 261.0, 53.3]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[165.0, 0.0, 189.9, 4.0]"
Burst,0.0%,0.3% Area,🟢 Low,Monitor Status,"[241.1, 2.3, 256.0, 12.0]"
Burst,0.0%,5.0% Area,🟠 Medium,Schedule Maintenance,"[70.4, 167.0, 172.0, 191.6]"
