epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,506.933,1.31109,2.08934,1.70438,0.16589,0.31915,0.114,0.02758,2.75706,3.19907,2.7912,0.000661939,0.000661939,0.000661939
2,1036.62,1.33835,1.77122,1.71665,0.40648,0.51648,0.34689,0.1085,2.37078,2.54119,2.75888,0.0013023,0.0013023,0.0013023
3,1570.63,1.35215,1.68111,1.70793,0.53309,0.42917,0.40582,0.12276,2.25133,2.68119,3.19581,0.00191626,0.00191626,0.00191626
4,2086.78,1.35282,1.63861,1.71104,0.54096,0.48198,0.41659,0.15335,2.10736,2.18541,2.47382,0.0018812,0.0018812,0.0018812
5,2643.78,1.29393,1.55098,1.66628,0.41404,0.33333,0.29967,0.10212,2.31665,2.34819,2.53004,0.0018416,0.0018416,0.0018416
6,3171.64,1.2586,1.52889,1.62544,0.51484,0.46336,0.48186,0.18845,1.85244,2.0502,2.13482,0.001802,0.001802,0.001802
7,3698.93,1.23387,1.50457,1.62069,0.54571,0.51537,0.46643,0.15493,2.06101,2.42648,2.50126,0.0017624,0.0017624,0.0017624
8,4144.81,1.21675,1.44377,1.59087,0.60695,0.47045,0.53162,0.23813,1.69807,1.86855,1.9388,0.0017228,0.0017228,0.0017228
9,4999.01,1.182,1.43152,1.57516,0.58138,0.58392,0.57064,0.23423,1.69881,1.8746,2.00522,0.0016832,0.0016832,0.0016832
10,5933.34,1.144,1.3833,1.56232,0.67592,0.56028,0.57274,0.22464,1.98202,1.81619,2.20921,0.0016436,0.0016436,0.0016436
11,6462.63,1.15762,1.36444,1.55764,0.61299,0.56738,0.5578,0.22574,1.71797,1.89746,1.94715,0.001604,0.001604,0.001604
12,6992.35,1.14626,1.35382,1.55385,0.60654,0.54846,0.5674,0.2054,1.99232,1.90571,2.17048,0.0015644,0.0015644,0.0015644
