epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3366,1.66807,3.36687,1.93979,0.00288,0.60606,0.01468,0.00358,2.5137,4.45228,2.53976,2.858e-05,2.858e-05,2.858e-05
2,22.5568,1.6066,3.43255,1.92959,0.00262,0.52273,0.03667,0.00602,2.54381,4.45561,2.48755,7.00353e-05,7.00353e-05,7.00353e-05
3,32.3836,1.31086,3.17935,1.69769,0.00315,0.60606,0.04244,0.01646,2.1981,4.3473,2.42048,0.000109793,0.000109793,0.000109793
4,42.329,1.38732,3.13247,1.77689,0.00369,0.63636,0.094,0.03968,2.15391,4.31284,2.43191,0.000147853,0.000147853,0.000147853
5,52.2602,1.23299,2.91569,1.66192,0.00399,0.63636,0.11333,0.04319,2.26015,4.23924,2.47644,0.000184215,0.000184215,0.000184215
6,62.2326,1.27764,2.75475,1.63305,0.00412,0.63636,0.08613,0.03502,2.31817,4.2139,2.55683,0.00021888,0.00021888,0.00021888
7,72.0895,1.05748,2.60216,1.53084,0.00412,0.63636,0.09664,0.03374,2.21244,4.20156,2.63496,0.000251847,0.000251847,0.000251847
8,81.9522,1.2464,2.62575,1.62674,0.00397,0.60606,0.09308,0.03255,2.31228,4.25102,2.68528,0.000283116,0.000283116,0.000283116
9,91.8899,1.08338,2.41501,1.52296,0.00421,0.63636,0.15803,0.04329,2.41537,4.3173,2.87136,0.000312688,0.000312688,0.000312688
10,103.227,1.16849,2.44503,1.60824,0.00417,0.63636,0.15719,0.04853,2.42456,4.28806,2.84119,0.000340562,0.000340562,0.000340562
11,113.741,1.1946,2.5364,1.60844,0.00386,0.60606,0.19131,0.06807,2.61535,4.20265,3.03596,0.000366739,0.000366739,0.000366739
12,124.699,1.24961,2.45478,1.61828,0.00364,0.57576,0.1583,0.06764,2.63768,4.15485,3.00887,0.000391217,0.000391217,0.000391217
13,134.985,1.00939,2.15045,1.50484,0.00393,0.57576,0.15096,0.07394,2.34748,3.9948,2.60536,0.000413998,0.000413998,0.000413998
14,146.377,1.32722,2.46968,1.66726,0.00363,0.54545,0.13924,0.07951,2.23034,4.00517,2.50227,0.000435082,0.000435082,0.000435082
15,157.747,1.13134,2.1278,1.50015,0.00403,0.57576,0.10062,0.05138,2.2391,3.84805,2.51589,0.000454468,0.000454468,0.000454468
16,169.197,1.23388,2.16994,1.57259,0.00446,0.57576,0.11713,0.07081,2.18614,3.87084,2.47641,0.000472156,0.000472156,0.000472156
17,180.66,1.20002,2.22373,1.58715,0.06454,0.20455,0.11837,0.06031,1.9927,3.87708,2.26708,0.000488146,0.000488146,0.000488146
18,191.886,1.09313,2.09707,1.46934,0.7493,0.08333,0.11281,0.06728,1.98425,3.86677,2.31975,0.000502439,0.000502439,0.000502439
19,202.32,1.08916,2.16,1.48742,0.7325,0.10492,0.13264,0.08533,2.0984,3.95462,2.38364,0.000515034,0.000515034,0.000515034
20,213.831,1.12589,2.08153,1.52357,0.75902,0.16667,0.1368,0.08295,2.12901,3.95339,2.40731,0.000525932,0.000525932,0.000525932
21,225.256,1.15376,2.14606,1.5422,0.58034,0.14837,0.13986,0.08415,2.06597,3.78511,2.46298,0.000535132,0.000535132,0.000535132
22,236.523,0.94089,1.9759,1.43332,0.56744,0.24108,0.16128,0.09994,2.01345,3.63168,2.46614,0.000542634,0.000542634,0.000542634
23,247.861,1.00299,2.0188,1.46853,0.47297,0.2803,0.23802,0.13997,2.09026,3.47705,2.68467,0.000548439,0.000548439,0.000548439
24,258.711,1.09268,2.22911,1.53543,0.85887,0.25,0.30385,0.17674,2.11374,3.41177,2.60162,0.000552546,0.000552546,0.000552546
25,268.297,1.00766,1.89515,1.428,0.85188,0.33333,0.30395,0.1956,2.04695,3.41586,2.53222,0.000554955,0.000554955,0.000554955
26,278.45,1.10712,2.03947,1.51944,0.58232,0.36364,0.31669,0.19348,1.98754,3.46901,2.45942,0.000555667,0.000555667,0.000555667
27,289.924,1.06163,1.95339,1.52645,0.73423,0.40786,0.35386,0.20366,2.00629,3.34411,2.64013,0.000554681,0.000554681,0.000554681
28,300.724,0.99532,1.87899,1.4009,0.78873,0.42424,0.45459,0.26435,2.04114,3.2505,2.83914,0.000551997,0.000551997,0.000551997
29,311.899,0.88956,1.74888,1.38749,0.78873,0.42424,0.45459,0.26435,2.04114,3.2505,2.83914,0.000547616,0.000547616,0.000547616
30,322.627,0.93596,1.69271,1.35454,0.85482,0.38947,0.39882,0.23739,2.07231,3.23856,2.9141,0.000541537,0.000541537,0.000541537
31,333.777,0.90219,1.78151,1.36296,0.61679,0.39394,0.35192,0.1913,2.08728,3.44524,2.96231,0.00053376,0.00053376,0.00053376
32,345.33,0.95685,1.84577,1.39567,0.91095,0.25,0.27412,0.13701,2.27966,3.5814,2.94638,0.000524286,0.000524286,0.000524286
33,356.441,0.93844,1.86631,1.3688,0.91095,0.25,0.27412,0.13701,2.27966,3.5814,2.94638,0.000513114,0.000513114,0.000513114
34,368.115,1.02247,1.77512,1.42911,0.67653,0.30977,0.27126,0.13801,2.25085,3.5579,2.85137,0.000495291,0.000495291,0.000495291
35,379.87,1.06707,1.90638,1.42921,0.61041,0.30795,0.23068,0.11856,2.36546,3.68527,2.78369,0.000466997,0.000466997,0.000466997
36,391.471,1.06689,1.8228,1.45231,0.27762,0.31061,0.19167,0.10881,2.28482,3.61789,2.68566,0.000438703,0.000438703,0.000438703
37,402.895,0.94183,1.69914,1.38744,0.27762,0.31061,0.19167,0.10881,2.28482,3.61789,2.68566,0.000410409,0.000410409,0.000410409
