epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.42,0.94354,1.9333,1.39167,0.53647,0.39092,0.38954,0.19685,1.30866,2.6552,1.69429,0.000654088,0.000654088,0.000654088
2,507.48,1.02011,1.61708,1.44043,0.35767,0.39218,0.30674,0.12909,1.96,2.55166,2.3457,0.0012946,0.0012946,0.0012946
3,737.19,1.05259,1.57332,1.49861,0.29942,0.25473,0.16937,0.08548,1.88969,3.28782,2.25855,0.00190872,0.00190872,0.00190872
4,964.658,1.06706,1.55657,1.49023,0.42068,0.52459,0.41535,0.20792,1.71598,2.11005,2.00955,0.0018812,0.0018812,0.0018812
5,1192.47,1.05293,1.40219,1.48191,0.46973,0.4691,0.42901,0.23658,1.51742,2.443,1.83039,0.0018416,0.0018416,0.0018416
6,1419.17,1.00954,1.37745,1.46235,0.39618,0.40731,0.33549,0.16538,1.7715,2.27581,2.0954,0.001802,0.001802,0.001802
7,1646.9,0.96821,1.31373,1.41732,0.5488,0.46532,0.4705,0.28577,1.35693,1.92636,1.78556,0.0017624,0.0017624,0.0017624
8,1876.69,0.93637,1.22632,1.40038,0.59294,0.55738,0.55905,0.36315,1.32478,1.59073,1.65362,0.0017228,0.0017228,0.0017228
9,2104.6,0.93341,1.21379,1.40507,0.31664,0.36192,0.2642,0.13587,1.77747,2.40281,2.01813,0.0016832,0.0016832,0.0016832
10,2332.67,0.92743,1.23992,1.40174,0.58925,0.53594,0.57161,0.38459,1.2387,1.73709,1.57524,0.0016436,0.0016436,0.0016436
11,2560.75,0.87134,1.15599,1.36598,0.66166,0.54981,0.61981,0.39754,1.28316,1.52868,1.59104,0.001604,0.001604,0.001604
12,2790.01,0.85954,1.15961,1.36501,0.65863,0.55359,0.63144,0.41166,1.30364,1.44594,1.5903,0.0015644,0.0015644,0.0015644
13,3017.62,0.84531,1.09777,1.31985,0.62098,0.54855,0.58797,0.37072,1.27439,1.74917,1.57059,0.0015248,0.0015248,0.0015248
14,3242.84,0.84614,1.10962,1.34773,0.66028,0.61034,0.66828,0.4744,1.08254,1.32036,1.40422,0.0014852,0.0014852,0.0014852
15,3470.17,0.80135,1.04047,1.30153,0.60762,0.60151,0.6293,0.42592,1.20455,1.4606,1.50672,0.0014456,0.0014456,0.0014456
16,3693.09,0.79806,1.03161,1.30107,0.68165,0.62169,0.66509,0.42963,1.23824,1.39788,1.55143,0.001406,0.001406,0.001406
17,3917.57,0.80645,1.05553,1.31041,0.59332,0.56665,0.5801,0.34926,1.31125,1.55235,1.58273,0.0013664,0.0013664,0.0013664
