epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.604,1.9516,3.01766,1.85391,0.72239,0.08183,0.18135,0.07379,1.94679,3.71973,1.97474,0.000655738,0.000655738,0.000655738
2,444.314,1.95138,2.60521,1.84683,0.06098,0.11635,0.01782,0.00654,2.68251,4.93973,2.84451,0.00129622,0.00129622,0.00129622
3,639.766,2.07673,2.59579,2.01124,0.19464,0.2044,0.12519,0.04579,2.4084,4.22321,2.45676,0.0019103,0.0019103,0.0019103
4,837.098,2.04456,2.50727,1.96075,0.47346,0.22956,0.21884,0.08919,2.3514,3.52901,2.38607,0.0018812,0.0018812,0.0018812
5,1031.95,2.01759,2.31424,1.97413,0.51632,0.31761,0.31426,0.13027,2.13386,2.8772,2.23369,0.0018416,0.0018416,0.0018416
6,1229.66,1.98447,2.23266,1.92469,0.49806,0.38994,0.39235,0.15121,2.06237,2.51684,2.06645,0.001802,0.001802,0.001802
7,1424.68,1.94233,2.12007,1.86111,0.4052,0.28302,0.25271,0.11173,2.24078,2.52645,2.30191,0.0017624,0.0017624,0.0017624
8,1619.98,1.91733,2.03013,1.86162,0.4444,0.29429,0.29453,0.12634,2.16146,2.63693,2.11024,0.0017228,0.0017228,0.0017228
9,1818.3,1.83956,2.00561,1.80417,0.51254,0.44025,0.41416,0.17049,1.99794,2.38982,2.06224,0.0016832,0.0016832,0.0016832
10,2016.08,1.87709,1.98977,1.82883,0.56236,0.3805,0.42029,0.16412,2.11177,2.40852,2.20315,0.0016436,0.0016436,0.0016436
11,2219.96,1.86177,1.88723,1.79542,0.55278,0.49057,0.50029,0.21531,1.9912,1.98943,2.0296,0.001604,0.001604,0.001604
12,2459.22,1.78868,1.82234,1.76314,0.60342,0.52201,0.56512,0.22873,1.98333,1.83427,1.99914,0.0015644,0.0015644,0.0015644
13,2679.41,1.83185,1.7636,1.78564,0.668,0.48113,0.57516,0.26549,1.94473,1.77094,1.95228,0.0015248,0.0015248,0.0015248
14,2901.44,1.77749,1.70817,1.7474,0.64563,0.43711,0.53534,0.26104,1.88128,1.79436,1.91566,0.0014852,0.0014852,0.0014852
15,3086.2,1.76793,1.69974,1.72555,0.68693,0.5106,0.57951,0.27146,1.91665,1.74803,1.91942,0.0014456,0.0014456,0.0014456
16,3303.53,1.73589,1.70807,1.70056,0.66047,0.40252,0.48145,0.22623,1.9479,1.95058,1.95916,0.001406,0.001406,0.001406
17,3523.17,1.77325,1.69822,1.72049,0.74441,0.54088,0.6323,0.29787,1.85166,1.64878,1.94284,0.0013664,0.0013664,0.0013664
18,3747.84,1.71344,1.60468,1.70563,0.78594,0.55975,0.68246,0.34026,1.79587,1.50895,1.82835,0.0013268,0.0013268,0.0013268
19,3968.04,1.70824,1.59758,1.68047,0.68702,0.51887,0.5842,0.26731,1.90445,1.69472,1.94565,0.0012872,0.0012872,0.0012872
20,4196.09,1.70246,1.56019,1.66858,0.76561,0.60063,0.67636,0.31943,1.83144,1.57598,1.87072,0.0012476,0.0012476,0.0012476
21,4418.82,1.64089,1.4508,1.61711,0.73288,0.54354,0.64499,0.31866,1.80597,1.5567,1.81169,0.001208,0.001208,0.001208
22,4639.89,1.69037,1.50991,1.68113,0.72873,0.63358,0.69892,0.33269,1.84865,1.48619,1.81478,0.0011684,0.0011684,0.0011684
23,4869.7,1.64333,1.44881,1.6308,0.73187,0.59119,0.65777,0.30952,1.85849,1.46199,1.8822,0.0011288,0.0011288,0.0011288
24,5097.7,1.66987,1.51832,1.67338,0.78576,0.61635,0.71813,0.34779,1.77363,1.42612,1.81883,0.0010892,0.0010892,0.0010892
25,5330.14,1.62388,1.41992,1.63218,0.67001,0.54909,0.59983,0.28156,1.89132,1.5826,1.9241,0.0010496,0.0010496,0.0010496
26,5559.73,1.63794,1.47316,1.63114,0.79356,0.63522,0.71617,0.33847,1.78193,1.42563,1.81286,0.00101,0.00101,0.00101
27,5784.79,1.57336,1.31208,1.59069,0.80437,0.68529,0.74425,0.359,1.8369,1.37072,1.86267,0.0009704,0.0009704,0.0009704
28,6015.81,1.63279,1.36585,1.62276,0.79321,0.59748,0.72595,0.36638,1.79713,1.35436,1.80049,0.0009308,0.0009308,0.0009308
29,6242.8,1.59475,1.33773,1.60077,0.7622,0.71384,0.76577,0.3688,1.79683,1.28488,1.82491,0.0008912,0.0008912,0.0008912
30,6472.51,1.55817,1.33031,1.58742,0.82718,0.66225,0.77997,0.38833,1.77679,1.25352,1.82156,0.0008516,0.0008516,0.0008516
31,6712.59,1.55801,1.26515,1.57907,0.77406,0.6761,0.75286,0.37933,1.74456,1.28732,1.77448,0.000812,0.000812,0.000812
