epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.497,2.14319,3.13641,2.02854,0.44151,0.30085,0.28129,0.10679,2.18465,3.34067,2.25813,0.000660494,0.000660494,0.000660494
2,1832.51,2.10127,2.64336,2.05742,0.26687,0.26151,0.16999,0.05376,2.42664,3.14217,2.3633,0.00130088,0.00130088,0.00130088
3,2293.17,2.11606,2.43379,2.02433,0.3591,0.31605,0.22251,0.06899,2.43059,2.99923,2.41069,0.00191487,0.00191487,0.00191487
4,4853.05,2.08471,2.2487,1.97528,0.49628,0.40254,0.37211,0.14403,2.16899,3.13314,2.18331,0.0018812,0.0018812,0.0018812
5,5256.26,2.0263,2.07854,1.94409,0.68581,0.45016,0.55198,0.22088,2.00845,2.13124,2.01594,0.0018416,0.0018416,0.0018416
6,6853.74,1.98565,1.96314,1.93322,0.63921,0.48312,0.53928,0.21811,2.09525,2.0912,2.05555,0.001802,0.001802,0.001802
7,8483.69,1.97338,1.85454,1.85695,0.67417,0.48413,0.57904,0.24661,1.9843,1.83347,1.94933,0.0017624,0.0017624,0.0017624
8,10096.3,1.932,1.77471,1.8405,0.67606,0.56325,0.6643,0.29808,1.91753,1.60197,1.87958,0.0017228,0.0017228,0.0017228
9,12097.4,1.90339,1.67722,1.80191,0.73919,0.64595,0.75123,0.32881,1.88358,1.48252,1.84563,0.0016832,0.0016832,0.0016832
10,12498.5,1.86381,1.57011,1.77693,0.78481,0.70758,0.80774,0.37897,1.7717,1.43191,1.77589,0.0016436,0.0016436,0.0016436
11,13329.2,1.81923,1.47744,1.74247,0.79638,0.74832,0.84496,0.39095,1.77897,1.27374,1.77811,0.001604,0.001604,0.001604
12,13750.8,1.80654,1.44902,1.74149,0.84381,0.7899,0.87467,0.40889,1.76477,1.14166,1.74325,0.0015644,0.0015644,0.0015644
13,14320.7,1.80398,1.42077,1.7535,0.80371,0.809,0.86648,0.41413,1.72747,1.16435,1.75003,0.0015248,0.0015248,0.0015248
14,14932.3,1.75471,1.33784,1.6916,0.8215,0.69332,0.80651,0.38224,1.79265,1.28287,1.81062,0.0014852,0.0014852,0.0014852
15,15502.5,1.77415,1.34565,1.70341,0.89871,0.85248,0.93402,0.47111,1.67563,0.94986,1.68528,0.0014456,0.0014456,0.0014456
16,17183.6,1.73981,1.25995,1.67013,0.86884,0.88834,0.93914,0.48003,1.64587,0.92413,1.65039,0.001406,0.001406,0.001406
17,17940.1,1.6925,1.21955,1.65209,0.88961,0.89316,0.9502,0.49307,1.65148,0.89384,1.66264,0.0013664,0.0013664,0.0013664
