epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.038,1.8081,3.26663,2.07481,0.68177,0.05233,0.02037,0.00545,2.68536,5.81831,3.07902,0.000473481,0.000473481,0.000473481
2,1082.28,1.84565,3.03599,2.11659,0.33915,0.03876,0.00641,0.00211,2.62105,4.94527,2.84239,0.000931008,0.000931008,0.000931008
3,1635.61,1.84258,2.92697,2.13556,0.35867,0.11061,0.01862,0.00594,2.48825,4.32061,2.93433,0.00136967,0.00136967,0.00136967
4,2132.28,1.83571,2.87122,2.12691,0.38565,0.16771,0.03646,0.01072,2.79148,4.27099,3.27134,0.00134412,0.00134412,0.00134412
5,2614.67,1.7794,2.81579,2.1006,0.37777,0.11747,0.07938,0.02686,2.55963,3.63862,2.89439,0.00131582,0.00131582,0.00131582
6,3138.31,1.7638,2.78939,2.07401,0.40515,0.13315,0.06223,0.03194,2.47981,3.46818,2.86634,0.00128753,0.00128753,0.00128753
7,3695.41,1.73254,2.7693,2.05504,0.41313,0.15713,0.10774,0.03173,2.30182,3.74112,2.58815,0.00125923,0.00125923,0.00125923
8,4153.47,1.69168,2.68965,2.01435,0.31791,0.1986,0.14344,0.07798,2.22877,3.11995,2.5923,0.00123094,0.00123094,0.00123094
9,4632.5,1.69231,2.66256,2.01164,0.13124,0.30361,0.0759,0.02691,2.40689,3.38843,2.69652,0.00120265,0.00120265,0.00120265
10,5106.27,1.64699,2.6404,1.98976,0.14817,0.27809,0.09938,0.03443,2.23475,3.3213,2.53644,0.00117435,0.00117435,0.00117435
11,5613,1.6658,2.57749,1.98583,0.55752,0.1469,0.17585,0.08821,2.30703,3.14888,2.63674,0.00114606,0.00114606,0.00114606
12,6210.44,1.63866,2.56671,1.95311,0.22201,0.31103,0.18964,0.06936,2.18475,3.07381,2.50407,0.00111776,0.00111776,0.00111776
13,6697.52,1.63704,2.54205,1.95389,0.2061,0.23813,0.17889,0.09249,2.27969,3.07145,2.58488,0.00108947,0.00108947,0.00108947
14,7196.73,1.62283,2.50099,1.94293,0.19461,0.30193,0.18342,0.09108,2.00941,3.06424,2.50253,0.00106118,0.00106118,0.00106118
15,7669.11,1.60202,2.46145,1.92929,0.66425,0.1624,0.2305,0.09938,2.16643,2.94399,2.45647,0.00103288,0.00103288,0.00103288
16,8144.88,1.59764,2.4377,1.90173,0.2484,0.2435,0.2071,0.08926,2.16096,2.91026,2.49246,0.00100459,0.00100459,0.00100459
17,8660.72,1.57627,2.41228,1.90266,0.22851,0.23456,0.18997,0.0693,2.19809,2.86221,2.48013,0.000976293,0.000976293,0.000976293
18,9145.39,1.57544,2.40192,1.90092,0.18962,0.16292,0.15924,0.05934,2.07192,2.88234,2.38143,0.000947999,0.000947999,0.000947999
19,9632.71,1.57824,2.39667,1.90371,0.24079,0.39484,0.28834,0.1395,2.1833,2.76344,2.45507,0.000919704,0.000919704,0.000919704
20,10126.2,1.55561,2.31784,1.86838,0.21417,0.46989,0.26825,0.10204,2.11823,2.91147,2.43482,0.00089141,0.00089141,0.00089141
21,10705.1,1.53494,2.31242,1.86096,0.24028,0.39741,0.20705,0.08109,2.0673,2.77352,2.39851,0.000863116,0.000863116,0.000863116
22,11199.9,1.52095,2.26526,1.84579,0.31676,0.31762,0.25832,0.15579,2.05796,2.78107,2.41314,0.000834822,0.000834822,0.000834822
23,15906,1.51023,2.25674,1.84418,0.35284,0.32105,0.25261,0.12613,2.14656,2.69452,2.45257,0.000806528,0.000806528,0.000806528
24,16502.7,1.50478,2.17923,1.82913,0.32799,0.36625,0.34423,0.13815,2.13392,2.65851,2.40149,0.000778233,0.000778233,0.000778233
25,17126.7,1.50518,2.16544,1.82665,0.30072,0.28077,0.2857,0.11709,2.14925,2.73865,2.42683,0.000749939,0.000749939,0.000749939
26,17779.8,1.49646,2.17813,1.8112,0.32681,0.46527,0.36791,0.13298,2.10508,2.74426,2.33901,0.000721645,0.000721645,0.000721645
27,18435.1,1.48149,2.13886,1.79163,0.36771,0.44693,0.32967,0.12276,2.12718,2.66223,2.35766,0.000693351,0.000693351,0.000693351
28,19099,1.48201,2.125,1.80142,0.31814,0.42812,0.27558,0.12755,2.02763,2.73434,2.35027,0.000665057,0.000665057,0.000665057
29,20595,1.45621,2.10704,1.78189,0.2615,0.38886,0.25552,0.11443,2.17228,2.75655,2.34929,0.000636762,0.000636762,0.000636762
30,21133.7,1.45188,2.06628,1.77461,0.49746,0.37683,0.3649,0.16433,2.03688,2.59226,2.314,0.000608468,0.000608468,0.000608468
31,21720.6,1.43331,2.02079,1.75274,0.4069,0.39216,0.36541,0.18905,1.98631,2.7289,2.22736,0.000580174,0.000580174,0.000580174
32,22283.5,1.42439,1.98829,1.74695,0.27727,0.42985,0.34963,0.19788,2.0545,2.61919,2.28898,0.00055188,0.00055188,0.00055188
33,22884.5,1.41027,1.97514,1.73588,0.30349,0.48432,0.34761,0.19393,2.20013,2.52183,2.365,0.000523586,0.000523586,0.000523586
34,23486.5,1.40411,1.96201,1.72917,0.37016,0.41679,0.36777,0.16751,2.0322,2.50416,2.28102,0.000495291,0.000495291,0.000495291
35,24096,1.35893,1.88861,1.69191,0.32178,0.43627,0.35514,0.16714,2.07447,2.54384,2.29889,0.000466997,0.000466997,0.000466997
36,24699.5,1.37863,1.89468,1.71288,0.2808,0.43382,0.36268,0.17723,2.01139,2.51634,2.25923,0.000438703,0.000438703,0.000438703
37,25302.3,1.36775,1.8773,1.70531,0.47128,0.28965,0.38428,0.17467,2.07546,2.61647,2.31529,0.000410409,0.000410409,0.000410409
38,25905.3,1.36731,1.85021,1.69485,0.40027,0.41443,0.35463,0.16997,2.02317,2.48986,2.26792,0.000382115,0.000382115,0.000382115
39,26439.9,1.36096,1.80417,1.68098,0.35172,0.44824,0.3639,0.19545,1.93918,2.48948,2.19409,0.00035382,0.00035382,0.00035382
40,26933.2,1.33129,1.7829,1.65282,0.46445,0.40128,0.39242,0.18579,2.03905,2.54513,2.2872,0.000325526,0.000325526,0.000325526
41,27396.3,1.45403,1.6928,1.83183,0.45969,0.34732,0.39151,0.20748,1.97076,2.46917,2.16724,0.000297232,0.000297232,0.000297232
42,27857.2,1.4137,1.57451,1.79125,0.42895,0.45137,0.39285,0.18248,2.01669,2.38314,2.24606,0.000268938,0.000268938,0.000268938
43,30088.1,1.37415,1.52331,1.75875,0.42221,0.46062,0.4039,0.1454,2.02968,2.37499,2.26606,0.000240644,0.000240644,0.000240644
44,30631.8,1.36895,1.47497,1.74881,0.4229,0.43274,0.4162,0.18667,2.02393,2.43119,2.2447,0.000212349,0.000212349,0.000212349
45,31200.9,1.34901,1.44794,1.72915,0.45562,0.45673,0.40682,0.19312,2.02798,2.40548,2.28777,0.000184055,0.000184055,0.000184055
46,31780,1.32188,1.40618,1.70818,0.34153,0.49012,0.4045,0.21174,2.00996,2.41396,2.24073,0.000155761,0.000155761,0.000155761
47,32363,1.29812,1.40474,1.68735,0.43446,0.42886,0.40447,0.21536,2.04219,2.4087,2.26393,0.000127467,0.000127467,0.000127467
48,32946.3,1.28596,1.34703,1.66846,0.46976,0.41694,0.40709,0.18974,2.0414,2.4477,2.24723,9.91726e-05,9.91726e-05,9.91726e-05
49,33522.8,1.27233,1.34936,1.66195,0.51888,0.39159,0.4063,0.18043,2.04572,2.43117,2.25844,7.08784e-05,7.08784e-05,7.08784e-05
50,34103.4,1.25984,1.33843,1.65393,0.4837,0.43818,0.43726,0.2118,2.01027,2.45862,2.22211,4.25842e-05,4.25842e-05,4.25842e-05
