epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,523.462,1.83612,24.8501,1.94069,0.00012,0.41497,0.00055,0.00011,0.82441,58.1586,0.85791,0.000661202,0.000661202,0.000661202
2,1041.44,2.57508,14.3834,2.4924,0.00016,0.22449,0.00017,3e-05,0.88039,29.3548,9.43017,0.00124023,0.00124023,0.00124023
3,1557.81,2.61678,8.26606,2.49431,0.00023,0.01361,0.00012,3e-05,0.62504,1123.02,0.92372,0.00173126,0.00173126,0.00173126
4,2075.16,2.51209,5.22158,2.40756,0.00096,0.04762,0.00056,0.00014,0.58952,5.82113,0.55157,0.001604,0.001604,0.001604
5,2592.09,2.458,4.97052,2.42755,0,0,0,0,0.56447,3.13432,0.52515,0.001472,0.001472,0.001472
6,3103.86,2.17895,4.22688,2.14988,0.00056,0.27211,0.00051,0.00014,0.61211,11.9517,0.6723,0.00134,0.00134,0.00134
7,3614.35,2.1877,4.03126,2.15181,0.00144,0.05442,0.0009,0.00029,0.5923,2.40794,0.55762,0.001208,0.001208,0.001208
8,4127.99,1.94089,3.66841,1.93868,0.00601,0.02041,0.0031,0.00103,0.59613,2.85832,0.683,0.001076,0.001076,0.001076
9,4645.78,1.96497,3.75067,1.99345,0.00675,0.30612,0.00819,0.00187,0.57994,2.44419,0.55424,0.000944,0.000944,0.000944
10,5164.59,2.00673,3.65281,2.01207,0.00377,0.4966,0.00579,0.00143,0.5776,2.79259,0.53953,0.000812,0.000812,0.000812
11,5685.43,2.11025,3.52117,2.06557,0.00557,0.40136,0.00789,0.00192,0.55795,2.2045,0.55277,0.00068,0.00068,0.00068
12,6200.71,1.97012,3.46408,1.98916,0.00449,0.64626,0.0308,0.00647,0.55156,2.67259,0.53016,0.000548,0.000548,0.000548
13,6677.13,2.09431,3.50177,2.11541,0.00701,0.39456,0.02177,0.005,0.59263,1.84029,0.56946,0.000416,0.000416,0.000416
14,7108.2,2.00289,3.30281,1.99749,0.00867,0.40136,0.01744,0.00395,0.58238,1.73185,0.54654,0.000284,0.000284,0.000284
15,7554.42,2.00938,3.23199,1.98157,0.00813,0.4898,0.01627,0.00371,0.57207,1.76042,0.53917,0.000152,0.000152,0.000152
