epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1311.37,1.28072,3.34206,3.30496,1.41946,0,0.51101,0.26994,0.23126,0.14162,0.49553,0.2495,0.2045,0.12059,1.29811,2.38996,2.95574,1.50456,0,0.000195093,0.000195093,0.000195093
2,3141.2,1.21577,2.47001,2.52151,1.35841,0,0.4521,0.29443,0.29379,0.18923,0.35817,0.27778,0.26466,0.15811,1.27089,2.23922,2.63379,1.45226,0,0.00036528,0.00036528,0.00036528
3,4638,1.21921,2.3949,2.31153,1.35308,0,0.33566,0.34515,0.30746,0.19491,0.32641,0.32042,0.27609,0.16344,1.25062,2.32105,2.43351,1.43856,0,0.000509596,0.000509596,0.000509596
4,6067.94,1.18271,2.25818,2.1267,1.33325,0,0.46603,0.38131,0.36034,0.23844,0.44979,0.36723,0.33514,0.205,1.21347,2.07297,2.3086,1.43116,0,0.000471576,0.000471576,0.000471576
5,7514.89,1.17512,2.14035,2.0127,1.31778,0,0.41539,0.42816,0.4093,0.26745,0.41497,0.40714,0.38504,0.2385,1.19892,1.91116,2.14474,1.37759,0,0.000432768,0.000432768,0.000432768
6,8907.89,1.17608,1.9457,2.08556,1.40067,0,0.47243,0.41436,0.40729,0.27686,0.45274,0.39546,0.38192,0.24418,1.1722,1.80148,2.03966,1.38124,0,0.00039396,0.00039396,0.00039396
7,10298.6,1.13041,1.80059,1.86149,1.35836,0,0.46204,0.46853,0.46853,0.31681,0.45153,0.44966,0.44262,0.27353,1.10642,1.63689,1.7786,1.31574,0,0.000355152,0.000355152,0.000355152
8,11564,1.08784,1.65178,1.71811,1.32212,0,0.53008,0.49692,0.50923,0.35149,0.53749,0.47917,0.48526,0.31105,1.06807,1.52612,1.66505,1.27503,0,0.000316344,0.000316344,0.000316344
9,12643.9,1.05308,1.58562,1.60917,1.29474,0,0.5843,0.55525,0.57279,0.40279,0.5682,0.53818,0.54425,0.34989,1.03546,1.42577,1.49034,1.27001,0,0.000277536,0.000277536,0.000277536
10,13864.6,1.0199,1.49394,1.51029,1.26694,0,0.60074,0.6021,0.62167,0.45294,0.58613,0.58716,0.59693,0.39725,0.97438,1.29578,1.37038,1.22697,0,0.000238728,0.000238728,0.000238728
11,14996.5,0.98113,1.40528,1.40992,1.24181,0,0.63987,0.61946,0.64916,0.47416,0.62783,0.5963,0.62077,0.41405,0.95127,1.27043,1.30782,1.20049,0,0.00019992,0.00019992,0.00019992
12,16699.9,0.94252,1.32285,1.33248,1.21469,0,0.67329,0.65492,0.69308,0.51442,0.66161,0.63137,0.66369,0.44755,0.88615,1.19903,1.22866,1.15754,0,0.000161112,0.000161112,0.000161112
13,17990.4,0.90192,1.2722,1.24241,1.18588,0,0.68349,0.67361,0.71687,0.54441,0.67182,0.66258,0.69479,0.47879,0.86122,1.13141,1.13331,1.1301,0,0.000122304,0.000122304,0.000122304
14,19283.7,0.87262,1.19433,1.18688,1.16213,0,0.73746,0.70882,0.75552,0.57958,0.72175,0.69439,0.73297,0.50845,0.8205,1.08156,1.06863,1.10251,0,8.3496e-05,8.3496e-05,8.3496e-05
15,20577.2,0.84878,1.17757,1.12879,1.14651,0,0.75175,0.71066,0.77044,0.59778,0.74035,0.69753,0.7493,0.52349,0.80296,1.04742,1.02454,1.08844,0,4.4688e-05,4.4688e-05,4.4688e-05
